,4O04 N,4O04 R,4O04 L,4O04 LR,4O04 RR,4P04 N,4P04 R,4P04 L,4P04 LR,4P04 RR
0:00:00.000-0:00:00.100,4.85282,9.99965,3.66184,3.14047,5.34589,1.41672,15.4455,9.59437,2.91961,2.07101
0:00:00.100-0:00:00.200,2.10559,5.64543,4.53616,10.1988,5.07864,1.12317,11.5867,5.91383,1.37613,0.511622
0:00:00.200-0:00:00.300,1.27989,12.2311,1.51246,17.3807,2.00307,0.351079,5.16377,1.27319,2.741,0.983616
0:00:00.300-0:00:00.400,0.449913,12.9263,1.89517,6.01428,1.81423,0.243356,17.5923,2.34283,0.654706,0.432407
0:00:00.400-0:00:00.500,0.196766,16.5321,0.814434,4.82813,0.364227,0.137406,19.6721,1.14484,0.535904,0.232895
0:00:00.500-0:00:00.600,0.551879,16.4596,1.07116,5.62946,0.450704,0.286327,6.98669,0.246024,0.675063,0.453399
0:00:00.600-0:00:00.700,0.309754,15.8238,2.17462,6.09006,0.275504,1.02977,1.99853,3.19397,0.703783,0.964396
0:00:00.700-0:00:00.800,3.89131,13.4909,12.5452,6.48757,0.188788,1.9207,1.02906,4.06101,0.866224,0.7909
0:00:00.800-0:00:00.900,11.4148,11.3327,9.42582,5.3231,0.153632,0.826695,1.28667,4.13608,0.896253,1.1328
0:00:00.900-0:00:01.000,12.3342,9.05394,5.8203,6.34134,0.106146,0.498357,0.922632,3.284,1.32726,0.677159
0:00:01.000-0:00:01.100,5.39784,8.84783,2.21066,6.11724,0.136088,0.342103,0.517031,2.72388,2.93302,0.304037
0:00:01.100-0:00:01.200,1.91635,9.1449,0.842773,4.24999,0.264118,0.185887,0.322125,2.74706,6.51516,0.163233
0:00:01.200-0:00:01.300,0.493191,3.54068,0.961501,2.88575,0.183738,0.184358,0.155788,3.48467,2.60717,2.59824
0:00:01.300-0:00:01.400,0.638131,1.47783,0.419487,1.49825,0.0417882,0.313937,0.0749871,3.95553,1.15768,2.79281
0:00:01.400-0:00:01.500,0.91614,2.26808,0.611474,1.12749,0.211717,3.01921,0.381107,3.76409,0.961392,4.1098
0:00:01.500-0:00:01.600,1.0304,1.98672,1.12069,1.52383,0.166261,6.82098,0.235743,1.50805,2.17507,8.22761
0:00:01.600-0:00:01.700,0.270053,1.22919,2.25074,1.05896,0.108774,4.94961,0.035394,1.05059,3.12934,7.28066
0:00:01.700-0:00:01.800,0.68258,0.715607,4.47028,1.87967,0.243622,2.70823,0.0280232,1.44767,4.0827,5.37353
0:00:01.800-0:00:01.900,0.385859,0.81319,10.3779,4.71407,0.272062,2.79163,0.0700415,0.83622,4.38981,1.59311
0:00:01.900-0:00:02.000,0.458518,0.877344,9.35531,5.9584,0.377037,1.64381,0.0978977,0.901441,2.28988,0.214083
0:00:02.000-0:00:02.100,1.32571,0.526968,11.7661,4.14085,0.253753,0.700815,0.14998,1.07634,1.59961,0.540863
0:00:02.100-0:00:02.200,0.820989,0.404437,24.3636,0.669619,0.20229,0.472435,0.291722,1.74235,1.34294,0.631712
0:00:02.200-0:00:02.300,0.451623,0.515685,27.1339,0.835717,0.215086,0.347627,0.226291,6.04464,0.451742,0.278127
0:00:02.300-0:00:02.400,0.146374,1.1317,39.6779,0.87204,0.333521,0.235618,0.095679,7.95816,0.132046,0.0930717
0:00:02.400-0:00:02.500,0.201193,5.1588,28.1405,0.463695,1.56611,1.36111,0.0739052,5.86366,0.671702,0.701278
0:00:02.500-0:00:02.600,0.272804,3.04426,23.7396,0.490008,1.47161,8.12773,0.393089,2.46317,1.13787,1.38691
0:00:02.600-0:00:02.700,0.193659,4.1038,17.3364,0.296105,1.04173,24.8812,0.160218,0.925813,2.20887,2.31598
0:00:02.700-0:00:02.800,0.221336,2.55713,22.131,0.172519,1.00559,37.9368,0.126586,0.488363,1.79521,1.56495
0:00:02.800-0:00:02.900,0.160697,1.59028,16.3648,0.271779,0.64613,46.7198,0.0325062,0.431477,1.67961,2.65366
0:00:02.900-0:00:03.000,0.198764,0.682505,23.9299,0.117126,0.431437,43.8147,0.141978,2.1799,2.07615,4.03942
0:00:03.000-0:00:03.100,1.10006,0.776729,25.5231,0.117655,0.219758,55.2178,0.120523,4.39928,3.652,3.15087
0:00:03.100-0:00:03.200,0.622671,0.36509,22.4801,0.23493,0.482171,43.2642,0.233695,4.61341,2.06631,16.4438
0:00:03.200-0:00:03.300,0.368882,0.383496,14.7553,0.172304,8.76697,19.3335,0.276041,4.03584,1.66117,30.8459
0:00:03.300-0:00:03.400,8.79912,0.341867,3.19671,0.241871,29.5171,19.3335,0.223998,1.29274,3.61203,31.3781
0:00:03.400-0:00:03.500,11.6247,0.201536,0.840176,2.43718,58.9971,19.3335,0.0539336,3.92007,17.9456,41.6371
0:00:03.500-0:00:03.600,5.88,0.539369,1.28148,2.69202,63.8961,19.3335,0.438971,19.25,34.0241,36.209
0:00:03.600-0:00:03.700,1.51589,0.230067,0.910078,3.4247,0,19.3335,0.261087,31.2891,35.261,20.4839
0:00:03.700-0:00:03.800,0.779157,0.106223,0.571953,6.38173,0,12.8826,0.0878959,30.0077,32.7609,7.08454
0:00:03.800-0:00:03.900,0.678628,0.741632,0.475798,4.39615,0,5.95467,0.109512,27.5379,22.0913,1.21696
0:00:03.900-0:00:04.000,0.430416,4.2525,0.30391,2.36487,0,4.81148,0.0355805,16.737,6.87374,1.09743
0:00:04.000-0:00:04.100,0.247872,8.12848,0.207241,3.19012,0,2.30382,0.213176,6.95742,2.08929,0.789507
0:00:04.100-0:00:04.200,0.169064,18.3773,0.200257,2.77261,0,1.97417,0.171294,5.80356,4.76673,0.328053
0:00:04.200-0:00:04.300,0.279902,23.6859,0.534236,0.824922,0,0.827195,0.354637,2.56036,3.42517,0.188663
0:00:04.300-0:00:04.400,0.226448,17.4972,0.21307,0.574186,0,0.402021,0.206796,1.37867,1.44157,0.165428
0:00:04.400-0:00:04.500,0.115184,14.8934,0.134853,0.807995,0,0.199667,0.072568,0.260917,0.453816,0.0854112
0:00:04.500-0:00:04.600,2.82497,13.4625,0.101761,0.744366,0,0.333443,0.173532,0.526348,0.390924,0.0811457
0:00:04.600-0:00:04.700,5.80432,12.9093,1.35857,0.389558,0,0.343572,0.536659,0.290738,0.610684,0.400103
0:00:04.700-0:00:04.800,3.12072,5.26346,8.7528,1.80248,0,0.721121,0.12702,0.184228,2.46112,1.08588
0:00:04.800-0:00:04.900,18.7976,1.2501,8.14613,2.89568,0,0.855777,0.0566751,0.328617,1.85602,0.363232
0:00:04.900-0:00:05.000,34.0049,0.751491,7.16535,4.85147,0,0.910554,0.0370895,0.644394,0.817426,0.7942
0:00:05.000-0:00:05.100,39.2551,0.902224,4.49994,7.46331,0,0.772743,0.0195597,0.491418,1.03705,2.13773
0:00:05.100-0:00:05.200,40.137,0.558965,2.23581,7.29793,0,3.02544,0.0269624,0.272543,0.588169,3.30362
0:00:05.200-0:00:05.300,31.1065,0.366621,1.7101,11.8627,0,3.16407,0.292144,0.283515,1.61458,1.17605
0:00:05.300-0:00:05.400,29.7701,0.227568,0.624386,10.8849,0,2.55356,0.232153,0.227103,2.92981,0.69313
0:00:05.400-0:00:05.500,18.7212,0.0843362,0.134853,22.4734,0,0.8802,0.178946,0.545047,3.22219,0.485987
0:00:05.500-0:00:05.600,9.68206,0.148743,0.129295,19.9774,0,0.338972,0.0678867,1.37592,2.49627,0.241177
0:00:05.600-0:00:05.700,3.74674,2.47775,0.556595,12.8902,0,0.279969,0.23261,1.57699,2.19449,0.311618
0:00:05.700-0:00:05.800,1.48641,1.99819,1.11385,5.02364,0,0.461436,0.172716,0.896539,4.08631,0.237874
0:00:05.800-0:00:05.900,1.65573,4.73611,1.25747,2.18284,0,0.288684,0.169242,0.259055,3.03743,0.16809
0:00:05.900-0:00:06.000,1.10921,11.7185,4.7117,1.14575,0,0.11761,0.0271732,0.0917993,2.88456,0.0339644
0:00:06.000-0:00:06.100,1.48861,16.3528,5.0276,0.834966,0,0.211642,0.0257239,0.703194,12.5616,0.0355825
0:00:06.100-0:00:06.200,0.619174,16.9082,4.64853,2.10044,0,0.141372,0.0332291,2.00907,25.8323,0.134266
0:00:06.200-0:00:06.300,0.235852,18.064,4.50595,1.45711,0,0.284515,0.172904,1.87246,21.3109,0.160212
0:00:06.300-0:00:06.400,0.111881,15.2873,4.75264,3.71142,0,0.191415,0.216201,0.847074,9.87623,0.240042
0:00:06.400-0:00:06.500,0.0987309,12.1537,5.8362,4.45934,0,0.120376,0.157496,0.296677,2.56385,0.156049
0:00:06.500-0:00:06.600,0.211063,6.20177,3.34681,8.20456,0,0.173415,0.0640222,0.172778,1.02824,0.56389
0:00:06.600-0:00:06.700,0.235319,2.94988,3.20296,9.01678,0,0.0938172,0.373455,0.368302,1.36008,0.541627
0:00:06.700-0:00:06.800,0.145424,4.69201,11.2905,5.73678,0,0.956184,0.262582,0.408841,1.69314,0.78639
0:00:06.800-0:00:06.900,0.0921571,19.0073,26.1336,2.48738,0,2.9772,0.0798683,0.329216,3.04782,0.822056
0:00:06.900-0:00:07.000,0.0864979,29.4977,35.2906,3.12158,0,2.4409,0.0465597,0.413761,3.7378,1.61237
