,1L,1N,2R,2L
0:00:00.000-0:00:00.100,0.663948,24.3162,4.29519,1.03578
0:00:00.100-0:00:00.200,1.45959,21.876,3.24319,1.81081
0:00:00.200-0:00:00.300,0.132827,2.72212,1.64377,0.781757
0:00:00.300-0:00:00.400,0.110265,1.50669,1.67295,0.32772
0:00:00.400-0:00:00.500,0.32546,0.880422,1.87499,0.138296
0:00:00.500-0:00:00.600,0.864489,0.289342,1.63219,2.06226
0:00:00.600-0:00:00.700,0.316691,0.390478,2.2556,1.28683
0:00:00.700-0:00:00.800,0.115535,0.278477,3.13853,0.707711
0:00:00.800-0:00:00.900,0.0818971,3.36158,2.21545,0.25108
0:00:00.900-0:00:01.000,0.13478,3.48662,1.32608,0.259389
0:00:01.000-0:00:01.100,0.882304,1.41139,0.620856,0.262071
0:00:01.100-0:00:01.200,0.933842,1.40452,0.776645,0.420296
0:00:01.200-0:00:01.300,2.70113,0.523604,0.930252,1.13074
0:00:01.300-0:00:01.400,2.50255,0.334189,0.718655,0.659147
0:00:01.400-0:00:01.500,3.00107,0.224318,4.64423,0.427889
0:00:01.500-0:00:01.600,4.17204,0.495937,6.64421,0.641386
0:00:01.600-0:00:01.700,3.26477,1.89627,9.38863,4.1769
0:00:01.700-0:00:01.800,3.02145,6.30196,2.21928,11.4692
0:00:01.800-0:00:01.900,2.18354,3.47329,5.7732,12.0461
0:00:01.900-0:00:02.000,3.55478,2.22911,12.9652,12.957
0:00:02.000-0:00:02.100,6.78894,0.768411,16.4278,7.33228
0:00:02.100-0:00:02.200,2.83536,0.617073,17.9118,2.23168
0:00:02.200-0:00:02.300,1.23164,0.342558,11.3582,0.351335
0:00:02.300-0:00:02.400,0.241718,0.129547,3.14579,0.625674
0:00:02.400-0:00:02.500,0.222682,0.112417,0.67323,0.382001
0:00:02.500-0:00:02.600,0.285826,0.971319,1.36624,3.26949
0:00:02.600-0:00:02.700,4.27784,5.66945,8.51753,4.84417
0:00:02.700-0:00:02.800,4.85106,9.79309,14.5199,7.75325
0:00:02.800-0:00:02.900,2.91786,7.25556,20.3914,10.5635
0:00:02.900-0:00:03.000,1.16441,7.29074,22.3646,11.8576
0:00:03.000-0:00:03.100,0.193529,5.2953,17.7561,16.5266
0:00:03.100-0:00:03.200,0.313207,4.45291,8.55507,20.8206
0:00:03.200-0:00:03.300,1.10373,5.54121,3.17318,26.9788
0:00:03.300-0:00:03.400,1.6789,8.33539,1.04795,14.9546
0:00:03.400-0:00:03.500,2.12095,10.8161,1.11519,4.1547
0:00:03.500-0:00:03.600,5.34837,9.86738,0.777851,9.04338
0:00:03.600-0:00:03.700,4.89914,9.65794,2.19523,29.1602
0:00:03.700-0:00:03.800,3.74016,22.1836,1.75662,27.9875
0:00:03.800-0:00:03.900,4.22203,32.2444,0.802507,38.8844
0:00:03.900-0:00:04.000,5.84373,29.8291,0.485738,31.3305
0:00:04.000-0:00:04.100,4.75836,28.0863,2.27219,44.7259
0:00:04.100-0:00:04.200,7.32068,27.2288,3.53181,31.8458
0:00:04.200-0:00:04.300,12.6441,26.2431,3.50729,34.6296
0:00:04.300-0:00:04.400,16.3002,17.1742,1.58591,39.4124
0:00:04.400-0:00:04.500,14.185,34.665,1.22894,29.056
0:00:04.500-0:00:04.600,14.5375,36.1864,0.876987,19.3683
0:00:04.600-0:00:04.700,11.6457,30.7076,1.08474,15.5918
0:00:04.700-0:00:04.800,3.5182,33.9963,2.31769,16.5333
0:00:04.800-0:00:04.900,7.31371,37.3053,0.988461,10.9224
0:00:04.900-0:00:05.000,9.23354,32.2105,0.260281,4.93704
0:00:05.000-0:00:05.100,7.28312,19.9673,0.700268,1.04978
0:00:05.100-0:00:05.200,3.8998,18.1917,2.54432,1.02186
0:00:05.200-0:00:05.300,2.99774,18.6272,2.89538,1.25354
0:00:05.300-0:00:05.400,1.42702,21.2676,2.4111,0.755942
0:00:05.400-0:00:05.500,0.897879,12.8515,1.68963,0.68268
0:00:05.500-0:00:05.600,5.46347,6.08267,0.425239,0.306976
0:00:05.600-0:00:05.700,5.9356,5.45549,0.470346,0.191933
0:00:05.700-0:00:05.800,7.86721,4.56662,2.37631,0.533742
0:00:05.800-0:00:05.900,7.48387,NA,1.72591,0.531614
0:00:05.900-0:00:06.000,6.39118,NA,1.37914,0.294332
0:00:06.000-0:00:06.100,7.76729,NA,0.6816,0.0964039
0:00:06.100-0:00:06.200,12.6618,NA,0.524389,0.0931971
0:00:06.200-0:00:06.300,18.5851,NA,1.79492,0.0566376
0:00:06.300-0:00:06.400,21.597,NA,1.35761,0.190288
0:00:06.400-0:00:06.500,25.0958,NA,3.43433,0.49267
0:00:06.500-0:00:06.600,28.7063,NA,1.42121,0.450241
0:00:06.600-0:00:06.700,14.7009,NA,0.694723,0.254929
0:00:06.700-0:00:06.800,4.26499,NA,0.665428,0.139008
0:00:06.800-0:00:06.900,2.19783,NA,4.25913,0.649801
0:00:06.900-0:00:07.000,17.2441,NA,2.90175,0.426443
0:00:07.000-0:00:07.100,30.799,NA,1.42216,0.192517
0:00:07.100-0:00:07.200,44.2374,NA,0.390282,0.10472
0:00:07.200-0:00:07.300,49.5287,NA,0.213137,0.0637058
0:00:07.300-0:00:07.400,48.2974,NA,0.139537,0.024857
0:00:07.400-0:00:07.500,36.427,NA,1.50978,0.261784
0:00:07.500-0:00:07.600,22.7563,NA,2.14065,0.43457
0:00:07.600-0:00:07.700,18.1572,NA,1.11063,0.316247
0:00:07.700-0:00:07.800,8.64808,NA,1.26467,0.120706
0:00:07.800-0:00:07.900,1.81061,NA,2.81327,0.530857
0:00:07.900-0:00:08.000,4.37182,NA,3.55614,0.359474
0:00:08.000-0:00:08.100,4.2259,NA,6.62731,0.271955
0:00:08.100-0:00:08.200,2.36789,NA,5.82762,0.299173
0:00:08.200-0:00:08.300,1.36185,NA,6.77745,0.537044
0:00:08.300-0:00:08.400,0.843732,NA,9.42711,0.653091
0:00:08.400-0:00:08.500,0.39752,NA,14.7494,0.499623
0:00:08.500-0:00:08.600,0.478682,NA,15.7599,0.550838
0:00:08.600-0:00:08.700,0.258808,NA,8.85251,0.853012
0:00:08.700-0:00:08.800,0.264664,NA,2.73773,1.14038
0:00:08.800-0:00:08.900,0.213671,NA,0.640757,0.549107
0:00:08.900-0:00:09.000,1.65772,NA,2.16894,0.791891
