,SPF 1,SPF 2,SPF 3,SPF 4,SPF 5,SPF 6,SPF 7,SPF 8,SPF 9,SPF 10,SPF 11,SPF 12,SPF 13,SPF 14,SPF 15,SPF 16,SPF 17,SPF 18,SPF 19,SPF 20
0:00:00.000-0:00:00.100,7.35736,4.0659,20.8903,3.21382,NA,2.41714,1.54134,2.71503,5.5258,4.27809,4.04723,1.67672,34.4978,0.588962,16.6293,1.51591,0.303664,2.44786,1.23901,9.8784
0:00:00.100-0:00:00.200,15.0275,2.98174,15.8336,1.30936,NA,1.96774,4.34571,5.93826,0.829549,17.7804,3.42367,2.89375,24.3092,0.299588,7.71382,23.725,0.124145,2.73592,3.2563,3.3826
0:00:00.200-0:00:00.300,17.5561,0.813542,1.69252,0.913113,NA,9.19244,5.58115,2.16949,3.49312,12.9876,1.8337,3.18484,19.8253,0.164765,1.54314,47.1136,0.625714,3.63467,2.76449,1.18594
0:00:00.300-0:00:00.400,2.64539,0.813542,0.560967,0.277385,NA,8.27893,9.53965,3.41567,0.685126,11.653,1.42155,0.572851,11.4075,0.345255,0.908415,52.7546,0.0779279,1.18208,5.78898,0.643359
0:00:00.400-0:00:00.500,1.42674,0.813542,0.630075,0.0623167,NA,5.60416,2.79045,0.700823,0.570445,5.62535,0.227614,0.262529,4.92445,0.188523,1.02237,46.9471,0.326796,2.20872,2.43181,0.410981
0:00:00.500-0:00:00.600,0.635961,0.813542,0.490264,6.28768,NA,9.63214,7.65666,0.516005,0.796446,10.8322,0.552096,0.572965,5.47025,0.369561,0.927294,20.385,0.228371,2.76521,1.75716,1.4512
0:00:00.600-0:00:00.700,2.05537,0.813542,0.26107,6.85177,NA,4.00206,10.2143,0.132592,0.506767,6.85385,1.88363,4.07351,8.08913,0.113757,0.442259,8.10677,0.261316,1.88588,0.431719,3.38187
0:00:00.700-0:00:00.800,0.621586,0.813542,0.284207,7.07167,NA,0.906437,4.11429,0.138016,0.228422,5.04211,0.810866,3.5442,8.29253,0.0977042,0.385121,3.42664,3.46123,0.973003,0.312008,3.91551
0:00:00.800-0:00:00.900,0.233244,6.34345,2.13077,4.85714,NA,3.26395,1.29352,0.140177,0.215381,6.36063,1.15774,1.18286,6.06181,0.0355196,0.422486,2.62102,3.83561,5.15381,0.519559,4.12863
0:00:00.900-0:00:01.000,0.199503,6.34345,1.63927,1.72299,NA,3.09864,5.91736,0.184502,0.157651,3.56035,3.00763,0.878787,3.95646,0.166751,0.504813,1.83535,2.68932,8.64484,0.266847,2.83307
0:00:01.000-0:00:01.100,0.18735,6.34352,2.92206,0.509924,NA,1.95817,7.92857,0.207891,0.0994394,2.127,2.72117,1.02921,2.77198,0.104855,0.369502,1.0248,2.75138,8.62376,0.14047,1.59296
0:00:01.100-0:00:01.200,0.241455,6.65387,6.94683,1.36346,NA,1.20581,14.8908,0.244357,0.212081,1.71591,3.02726,0.789025,1.63033,0.108243,1.13852,0.604798,0.860832,7.49701,0.653463,2.37841
0:00:01.200-0:00:01.300,0.103192,7.27468,9.0862,1.08664,NA,1.82264,14.6999,0.255203,0.339958,3.53881,1.90818,0.919838,1.54579,0.145303,2.8077,0.367631,0.27587,3.01172,0.600778,2.66845
0:00:01.300-0:00:01.400,0.0728661,7.27468,3.69397,0.795405,NA,1.90204,11.9134,0.209833,0.282039,2.07913,0.892779,1.61701,1.25783,0.0966839,3.57672,0.109972,0.850519,1.36526,0.40118,4.08033
0:00:01.400-0:00:01.500,0.0918075,7.27468,1.51126,0.264384,NA,1.99102,10.8507,0.166504,0.133278,1.00684,0.189272,5.63778,1.02272,0.128634,2.53496,0.116787,0.685819,1.86406,0.29288,3.23441
0:00:01.500-0:00:01.600,0.21023,7.27468,0.764849,9.02634,NA,2.33234,6.59348,0.418222,0.371083,0.624287,0.647162,8.3471,0.827917,0.362486,2.3769,0.498596,0.235312,0.900477,0.578346,3.75577
0:00:01.600-0:00:01.700,0.17878,0.446437,0.661555,10.4867,NA,2.68429,1.70015,0.0734494,0.280642,0.408288,0.357321,25.3079,0.350547,2.23119,2.00652,0.281279,0.091347,0.261243,0.032235,3.14329
0:00:01.700-0:00:01.800,0.198686,0.446437,0.475749,7.94418,NA,2.15042,2.1677,1.20913,0.15655,0.36688,0.556186,37.6608,0.863667,3.97048,1.53993,0.169839,0.106725,0.136506,0.0322353,1.97683
0:00:01.800-0:00:01.900,0.0851279,0.446437,0.819388,13.2861,NA,4.86231,2.66981,2.5139,0.0843973,0.0838068,2.91679,41.6922,3.19002,4.27537,1.14056,0.114392,0.373038,0.229912,0.0322353,0.951261
