,VAN 1,VAN 2,VAN 3,VAN 4,VAN 5,VAN 6,VAN 7,VAN 8,VAN 9,VAN 10,VAN 11,VAN 12,VAN 13,VAN 14,VAN 15,VAN 16,VAN 17,VAN 18,VAN 19,VAN20
0:00:00.000-0:00:00.100,7.60065,1.73374,6.96061,8.64048,25.2141,2.56984,2.02146,8.3442,33.26,3.16281,10.6767,3.03209,5.26822,10.9158,1.60084,1.67864,3.05337,5.2224,7.75394,3.78115
0:00:00.100-0:00:00.200,3.31286,2.97179,11.1076,7.86539,6.52883,0.91761,2.20545,1.39669,28.5467,1.46951,2.95687,1.62681,3.99565,13.3839,2.63469,7.04813,1.96478,1.57004,3.37633,19.0161
0:00:00.200-0:00:00.300,2.46904,3.00727,5.53528,2.19107,2.74149,2.5598,0.61916,1.07004,32.3841,0.601164,4.87032,0.469506,2.03307,2.55362,1.27453,11.7513,1.66136,2.79317,3.95164,5.50973
0:00:00.300-0:00:00.400,1.20322,0.504819,1.05337,0.868337,0.49714,11.347,0.153816,0.373589,NA,1.34044,1.64031,0.503332,0.529315,5.38884,0.383917,2.63797,0.43722,6.89946,0.50485,1.55238
0:00:00.400-0:00:00.500,1.51968,0.382838,0.476032,0.541782,0.685247,10.6568,0.095527,0.119788,NA,1.16095,1.59353,0.403329,0.572531,1.2744,0.621143,0.890711,0.175796,6.40426,0.124749,0.475523
0:00:00.500-0:00:00.600,2.34716,0.552886,0.257477,0.472021,1.47689,5.23353,0.336323,0.158667,NA,0.447316,0.749402,0.318342,0.435533,0.553024,1.8093,1.16298,0.244596,4.79129,0.351135,0.630006
0:00:00.600-0:00:00.700,2.26571,0.809412,0.281069,2.42751,1.23992,6.07197,1.54646,0.0867891,NA,0.57361,0.228738,0.247845,0.375995,0.265397,2.91088,0.803735,0.344145,3.08353,0.260907,0.353243
0:00:00.700-0:00:00.800,1.6661,1.4177,0.216713,3.13506,2.30807,8.58627,1.85238,0.0641831,NA,0.643444,0.191925,2.07395,0.376558,0.115496,2.02127,0.324937,2.62326,1.07326,0.127948,0.187055
0:00:00.800-0:00:00.900,1.27333,1.1549,0.291042,2.82548,3.53306,7.13039,0.776967,0.122766,NA,1.40067,0.354592,3.49225,0.20234,0.0488332,1.73713,0.137052,2.50106,2.27081,0.0897465,0.0537784
0:00:00.900-0:00:01.000,2.25077,1.50155,0.135677,3.95175,6.30475,3.11756,0.622757,0.216075,NA,2.08709,0.131058,2.84251,0.209888,0.0475398,2.16562,0.251378,3.27989,0.925633,0.0383978,0.106247
0:00:01.000-0:00:01.100,1.8017,1.43401,3.05302,2.48626,12.6739,5.54831,0.824254,1.52516,NA,2.1101,0.168688,1.5047,3.9627,0.0587669,1.82625,0.0946822,3.24232,1.25033,0.118765,0.153184
0:00:01.100-0:00:01.200,1.70792,4.94284,13.166,8.05195,9.13926,13.2294,0.523056,6.89044,NA,1.04851,0.0841303,1.1942,9.04945,0.0868641,1.79359,0.128546,2.10033,1.41313,0.133071,0.0602718
0:00:01.200-0:00:01.300,1.52456,3.99362,14.5158,5.91206,4.212,23.2626,0.729413,6.28083,NA,0.567044,0.0838946,1.08423,10.4944,0.0399609,3.15996,0.208873,1.004,2.35743,0.0798755,0.0876609
0:00:01.300-0:00:01.400,0.568005,3.14808,11.4935,2.69144,1.06195,36.618,0.792854,4.22803,NA,0.741215,0.195262,1.07208,12.6586,0.138324,4.18669,0.343975,4.60522,3.27285,0.0806757,0.037822
0:00:01.400-0:00:01.500,0.538665,1.57362,4.92034,0.74761,0.504271,53.3034,0.496966,2.63974,NA,0.895536,1.14028,0.828045,14.6121,0.120745,4.02219,0.13681,18.4236,2.57127,0.995888,0.10064
0:00:01.500-0:00:01.600,0.537447,5.74074,3.1426,0.640436,1.07046,44.1936,0.166369,9.62809,NA,1.62829,2.68312,0.666456,10.4577,0.105776,1.91109,0.231653,11.0499,1.22352,0.952932,1.04402
0:00:01.600-0:00:01.700,2.0603,4.86006,1.54599,2.35739,1.0654,26.5265,0.131921,6.63942,NA,4.15599,3.9059,1.45743,7.20078,0.591072,0.85492,0.19086,4.59454,0.495187,0.472972,0.922464
0:00:01.700-0:00:01.800,1.48846,3.97722,2.04034,4.01251,1.89433,14.3347,0.153431,2.70457,NA,9.82958,6.44708,1.3891,1.58221,1.16852,0.918192,0.160762,0.88989,0.37878,0.537164,0.823964
0:00:01.800-0:00:01.900,0.858308,2.56398,1.37585,7.83148,1.28502,8.88825,0.0972511,0.355207,NA,14.211,7.00711,1.27392,4.78551,3.53705,1.69543,0.537249,0.918409,0.320043,0.535709,1.76208
0:00:01.900-0:00:02.000,0.978581,3.18947,4.26106,9.98686,0.772049,5.87646,0.049312,0.63863,NA,6.6137,5.57968,6.68307,5.54739,3.65678,3.37516,3.27793,1.53493,0.194923,2.05298,2.05602
0:00:02.000-0:00:02.100,0.455676,3.92503,10.8658,6.52456,2.84817,NA,0.0537132,0.479762,NA,2.59792,5.64232,9.45413,2.97595,2.79925,4.13606,2.90237,0.974984,0.136336,1.93846,1.96858
0:00:02.100-0:00:02.200,0.173287,5.57413,10.6654,4.58444,6.68838,NA,0.123103,3.03841,NA,1.81838,7.40033,5.41557,0.731251,1.14664,7.1386,1.4963,0.253021,0.0993504,5.84776,1.14542
0:00:02.200-0:00:02.300,0.24881,12.3887,5.88596,2.52861,12.2258,NA,0.178189,4.33859,NA,2.91629,4.74154,1.90752,1.91678,0.460727,10.4817,0.718158,0.069432,0.0986296,9.42113,1.47972
0:00:02.300-0:00:02.400,0.0979806,26.9608,2.42569,0.891718,8.67547,NA,0.0698716,6.55614,NA,1.7875,2.1306,0.614681,1.35294,0.31705,17.2418,48.3778,0.143962,0.0805773,5.17135,1.2149
0:00:02.400-0:00:02.500,0.0736983,14.73,2.86962,0.468182,3.81566,NA,0.0592083,7.41081,NA,1.36159,0.570705,0.491458,0.536806,0.155831,21.0721,86.9953,0.112873,0.153736,1.94689,0.68985
0:00:02.500-0:00:02.600,0.0367621,6.25997,3.39341,0.586755,0.90811,NA,0.0305799,5.07296,NA,6.90934,1.04634,0.405204,0.303574,0.179956,28.809,56.0357,0.144633,1.26966,0.349396,0.179529
0:00:02.600-0:00:02.700,0.438952,1.70233,5.64701,3.82381,3.70354,NA,0.163104,2.21426,NA,13.1273,6.53455,0.0851333,0.288701,0.319787,25.3173,58.3545,0.244605,2.70263,0.483408,0.260656
0:00:02.700-0:00:02.800,0.997283,1.97697,10.7836,7.80524,12.1664,NA,0.110649,7.28746,NA,15.2463,21.6658,0.0531097,0.164821,0.253402,21.057,0.601427,0.0866572,2.25499,0.454943,0.763293
0:00:02.800-0:00:02.900,0.743782,1.16894,13.7411,7.11912,13.6528,NA,0.36135,7.92265,NA,14.6034,42.9484,0.10438,0.109982,0.231883,16.6455,0.601427,0.0709905,1.50553,0.812858,2.22925
0:00:02.900-0:00:03.000,0.453456,1.02951,13.3206,4.71256,20.8742,NA,2.7087,7.29854,NA,24.1752,53.9928,0.173403,0.198433,0.932839,11.3633,0.601427,0.0707826,5.18794,9.14237,5.59295
