"","time","status","condition","subject","acceleration"
"1",1,"S","VAN","subject 1",-4.28779
"2",2,"S","VAN","subject 1",-0.84382
"3",3,"S","VAN","subject 1",-1.26582
"4",4,"S","VAN","subject 1",0.31646
"5",5,"S","VAN","subject 1",0.82748
"6",6,"NS","VAN","subject 1",-0.0814500000000002
"7",7,"NS","VAN","subject 1",-0.59961
"8",8,"NS","VAN","subject 1",-0.39277
"9",9,"NS","VAN","subject 1",0.97744
"10",10,"NS","VAN","subject 1",-0.44907
"11",11,"S","VAN","subject 1",-0.09378
"12",12,"S","VAN","subject 1",-0.18336
"13",13,"S","VAN","subject 1",-0.956555
"14",14,"S","VAN","subject 1",-0.02934
"15",15,"S","VAN","subject 1",-0.00121799999999994
"16",16,"NS","VAN","subject 1",1.522853
"17",17,"NS","VAN","subject 1",-0.57184
"18",18,"NS","VAN","subject 1",-0.630152
"19",19,"NS","VAN","subject 1",0.120273
"20",20,"NS","VAN","subject 1",-0.522905
"21",21,"S","VAN","subject 1",-0.282389
"22",22,"S","VAN","subject 1",0.075523
"23",23,"S","VAN","subject 1",-0.1508294
"24",24,"S","VAN","subject 1",-0.0242823
"25",25,"S","VAN","subject 1",-0.0369362
"26",26,"NS","VAN","subject 1",0.4021899
"27",27,"NS","VAN","subject 1",0.558331
"28",28,"NS","VAN","subject 1",-0.253501
"29",29,"NS","VAN","subject 1",-0.290326
"30",30,"NS","VAN","subject 1",-0.218736
"31",31,"S","VAN","subject 1",-0.032597
"32",32,"S","VAN","subject 1",0.116813
"33",33,"S","VAN","subject 1",-0.05113
"34",34,"S","VAN","subject 1",-0.149984
"35",35,"S","VAN","subject 1",0.065671
"36",36,"NS","VAN","subject 1",0.441859
"37",37,"NS","VAN","subject 1",0.538708
"38",38,"NS","VAN","subject 1",0.2079
"39",39,"NS","VAN","subject 1",-0.622987
"40",40,"NS","VAN","subject 1",-0.00496700000000005
"41",41,"S","VAN","subject 1",0.042838
"42",42,"S","VAN","subject 1",-0.108891
"43",43,"S","VAN","subject 1",-0.268319
"44",44,"S","VAN","subject 1",-0.178922
"45",45,"S","VAN","subject 1",-0.048414
"46",46,"NS","VAN","subject 1",0.040214
"47",47,"NS","VAN","subject 1",0.308748
"48",48,"NS","VAN","subject 1",0.382364
"49",49,"NS","VAN","subject 1",-0.649778
"50",50,"NS","VAN","subject 1",0.149261
"51",51,"S","VAN","subject 1",-0.202942
"52",52,"S","VAN","subject 1",-0.01785
"53",53,"S","VAN","subject 1",0.052199
"54",54,"S","VAN","subject 1",0.173645
"55",55,"S","VAN","subject 1",-0.271528
"56",56,"NS","VAN","subject 1",0.202061
"57",57,"NS","VAN","subject 1",0.921718
"58",58,"NS","VAN","subject 1",-0.04416
"59",59,"NS","VAN","subject 1",-0.590225
"60",60,"NS","VAN","subject 1",-0.430502
"61",61,"S","VAN","subject 1",-0.0662
"62",62,"S","VAN","subject 1",0.021294
"63",63,"S","VAN","subject 1",0.039081
"64",64,"S","VAN","subject 1",0.427799
"65",65,"S","VAN","subject 1",-0.22078
"66",66,"NS","VAN","subject 1",0.046621
"67",67,"NS","VAN","subject 1",1.775902
"68",68,"NS","VAN","subject 1",2.04583
"69",69,"NS","VAN","subject 1",-0.470940000000001
"70",70,"NS","VAN","subject 1",-0.73421
"71",71,"S","VAN","subject 1",-0.29774
"72",72,"S","VAN","subject 1",22.99682
"73",73,"S","VAN","subject 1",NA
"74",74,"S","VAN","subject 1",NA
"75",75,"S","VAN","subject 1",NA
"76",76,"NS","VAN","subject 1",NA
"77",77,"NS","VAN","subject 1",NA
"78",78,"NS","VAN","subject 1",NA
"79",79,"NS","VAN","subject 1",NA
"80",80,"NS","VAN","subject 1",NA
"81",81,"S","VAN","subject 1",NA
"82",82,"S","VAN","subject 1",NA
"83",83,"S","VAN","subject 1",NA
"84",84,"S","VAN","subject 1",NA
"85",85,"S","VAN","subject 1",NA
"86",86,"NS","VAN","subject 1",NA
"87",87,"NS","VAN","subject 1",NA
"88",88,"NS","VAN","subject 1",NA
"89",89,"NS","VAN","subject 1",NA
"90",90,"NS","VAN","subject 1",NA
"91",91,"S","VAN","subject 1",NA
"92",92,"S","VAN","subject 1",NA
"93",93,"S","VAN","subject 1",NA
"94",94,"S","VAN","subject 1",NA
"95",95,"S","VAN","subject 1",NA
"96",96,"NS","VAN","subject 1",NA
"97",97,"NS","VAN","subject 1",NA
"98",98,"NS","VAN","subject 1",NA
"99",99,"NS","VAN","subject 1",NA
"100",100,"NS","VAN","subject 1",NA
"101",101,"S","VAN","subject 1",NA
"102",102,"S","VAN","subject 1",NA
"103",103,"S","VAN","subject 1",NA
"104",104,"S","VAN","subject 1",NA
"105",105,"S","VAN","subject 1",NA
"106",106,"NS","VAN","subject 1",NA
"107",107,"NS","VAN","subject 1",NA
"108",108,"NS","VAN","subject 1",NA
"109",109,"NS","VAN","subject 1",NA
"110",110,"NS","VAN","subject 1",NA
"111",111,"S","VAN","subject 1",NA
"112",112,"S","VAN","subject 1",NA
"113",113,"S","VAN","subject 1",NA
"114",114,"S","VAN","subject 1",NA
"115",115,"S","VAN","subject 1",NA
"116",116,"NS","VAN","subject 1",NA
"117",117,"NS","VAN","subject 1",NA
"118",118,"NS","VAN","subject 1",NA
"119",119,"NS","VAN","subject 1",NA
"120",120,"NS","VAN","subject 1",NA
"121",121,"S","VAN","subject 1",NA
"122",122,"S","VAN","subject 1",NA
"123",123,"S","VAN","subject 1",NA
"124",124,"S","VAN","subject 1",NA
"125",125,"S","VAN","subject 1",NA
"126",126,"NS","VAN","subject 1",NA
"127",127,"NS","VAN","subject 1",NA
"128",128,"NS","VAN","subject 1",NA
"129",129,"NS","VAN","subject 1",NA
"130",130,"NS","VAN","subject 1",NA
"131",131,"S","VAN","subject 1",NA
"132",132,"S","VAN","subject 1",NA
"133",133,"S","VAN","subject 1",NA
"134",134,"S","VAN","subject 1",NA
"135",135,"S","VAN","subject 1",NA
"136",136,"NS","VAN","subject 1",NA
"137",137,"NS","VAN","subject 1",NA
"138",138,"NS","VAN","subject 1",NA
"139",139,"NS","VAN","subject 1",NA
"140",140,"NS","VAN","subject 1",NA
