,L,LR,N,R,RR
0:00:00.000-0:00:00.100,2.44682,6.22754,2.33501,4.74128,0.472087
0:00:00.100-0:00:00.200,2.73326,2.37929,5.40217,4.70153,0.73647
0:00:00.200-0:00:00.300,1.64365,1.36647,4.08959,0.99557,4.09795
0:00:00.300-0:00:00.400,0.636064,0.88833,3.02365,0.798594,14.0313
0:00:00.400-0:00:00.500,0.366645,0.292219,0.983712,0.239993,15.272
0:00:00.500-0:00:00.600,0.326544,7.79932,0.656379,0.438051,11.1921
0:00:00.600-0:00:00.700,0.235309,7.61969,0.490574,2.96495,7.27684
0:00:00.700-0:00:00.800,0.723702,8.17585,0.468336,1.70835,7.58548
0:00:00.800-0:00:00.900,0.465817,9.16399,0.274167,1.10895,17.4835
0:00:00.900-0:00:01.000,2.98883,13.8735,1.22584,2.17587,34.1777
0:00:01.000-0:00:01.100,3.25642,9.21404,1.98606,4.18931,48.2922
0:00:01.100-0:00:01.200,2.08488,5.35681,2.90117,2.10981,54.6325
0:00:01.200-0:00:01.300,1.16604,10.1495,3.16593,1.402,46.7142
0:00:01.300-0:00:01.400,0.768787,5.34569,2.46781,2.54983,31.5936
0:00:01.400-0:00:01.500,0.463269,2.48895,1.22389,1.83687,13.5795
0:00:01.500-0:00:01.600,0.398176,7.0673,0.791278,0.704463,3.25122
0:00:01.600-0:00:01.700,0.457789,5.5742,0.805973,0.30554,1.43204
0:00:01.700-0:00:01.800,0.23037,4.29349,0.621518,0.323487,3.4822
0:00:01.800-0:00:01.900,0.142525,4.99521,0.768169,0.641665,2.31364
0:00:01.900-0:00:02.000,0.123085,4.50797,1.28728,0.639503,0.759982
0:00:02.000-0:00:02.100,0.23067,3.7926,4.96147,0.562763,0.276837
0:00:02.100-0:00:02.200,0.177309,1.37325,5.6774,1.45715,1.16157
0:00:02.200-0:00:02.300,0.235868,3.42102,4.14539,3.41059,0.698856
0:00:02.300-0:00:02.400,0.143696,14.4479,2.2176,2.66535,0.365944
0:00:02.400-0:00:02.500,0.343202,6.89143,1.89256,1.48973,1.02151
0:00:02.500-0:00:02.600,0.122303,3.38875,0.591313,5.04597,0.530103
0:00:02.600-0:00:02.700,0.393246,11.711,0.781489,24.1537,0.27655
0:00:02.700-0:00:02.800,0.33763,5.11201,0.273679,19.0839,0.21288
0:00:02.800-0:00:02.900,0.491037,13.197,0.53639,10.3018,0.133077
0:00:02.900-0:00:03.000,0.289938,10.8711,0.459029,3.72652,1.34291
0:00:03.000-0:00:03.100,0.301291,1.64158,0.189799,0.983239,0.524994
0:00:03.100-0:00:03.200,0.150362,7.32499,0.119122,2.43752,0.329446
0:00:03.200-0:00:03.300,0.299658,3.53315,0.355988,2.15095,0.501995
0:00:03.300-0:00:03.400,0.341879,2.05293,0.916684,1.04823,1.33941
0:00:03.400-0:00:03.500,0.141423,0.636766,0.520496,0.579985,1.02506
0:00:03.500-0:00:03.600,0.0976661,0.895029,0.464455,0.428246,1.02514
0:00:03.600-0:00:03.700,0.270288,1.79529,0.438511,0.44535,0.362219
0:00:03.700-0:00:03.800,0.493177,7.98211,0.171441,0.19838,0.256147
0:00:03.800-0:00:03.900,0.238434,6.92234,0.120704,0.32158,1.07287
0:00:03.900-0:00:04.000,0.92424,3.81345,2.61593,0.404489,1.74425
0:00:04.000-0:00:04.100,4.12164,1.47322,5.00399,2.34537,0.538714
0:00:04.100-0:00:04.200,5.19784,0.543801,3.64087,5.54366,0.216072
0:00:04.200-0:00:04.300,4.64283,0.454938,2.50371,11.911,0.221736
0:00:04.300-0:00:04.400,2.64787,0.446319,5.65066,14.9074,0.523012
0:00:04.400-0:00:04.500,1.2692,0.33626,8.00789,13.0828,0.696101
0:00:04.500-0:00:04.600,1.07121,0.22672,6.96407,6.85114,0.503263
0:00:04.600-0:00:04.700,0.682384,0.169573,4.59073,15.3651,0.151367
0:00:04.700-0:00:04.800,0.834792,0.172946,3.44054,28.8925,0.372999
0:00:04.800-0:00:04.900,1.04289,0.357448,2.21835,23.6564,0.466188
0:00:04.900-0:00:05.000,2.07631,0.240478,1.47125,28.5547,2.9445
0:00:05.000-0:00:05.100,4.35887,0.19737,0.539408,48.5549,1.72705
0:00:05.100-0:00:05.200,11.2965,0.188037,0.206216,49.5829,0.948278
0:00:05.200-0:00:05.300,12.5485,0.432391,0.271513,49.5829,0.347801
0:00:05.300-0:00:05.400,10.5913,2.3329,0.207673,33.9093,0.466676
