"","time","status","condition","subject","velocity","normVelocity"
"1",1,"S 1","VAN","subject 1",7.60065,2.02954858215507
"2",2,"S 1","VAN","subject 1",3.31286,1.20082585788006
"3",3,"S 1","VAN","subject 1",2.46904,0.907871388461401
"4",4,"S 1","VAN","subject 1",1.20322,0.193277982024465
"5",5,"S 1","VAN","subject 1",1.51968,0.425058563202567
"6",6,"NS 1","VAN","subject 1",2.34716,0.857457504552048
"7",7,"NS 1","VAN","subject 1",2.26571,0.822292091625699
"8",8,"NS 1","VAN","subject 1",1.6661,0.516469666151076
"9",9,"NS 1","VAN","subject 1",1.27333,0.249458262225613
"10",10,"NS 1","VAN","subject 1",2.25077,0.815705463221018
"11",11,"S 2","VAN","subject 1",1.8017,0.594265630999828
"12",12,"S 2","VAN","subject 1",1.70792,0.541114256703688
"13",13,"S 2","VAN","subject 1",1.52456,0.428243694997504
"14",14,"S 2","VAN","subject 1",0.568005,-0.548172759828144
"15",15,"S 2","VAN","subject 1",0.538665,-0.600267224084917
"16",16,"NS 2","VAN","subject 1",0.537447,-0.602489625630225
"17",17,"NS 2","VAN","subject 1",2.0603,0.727693524312529
"18",18,"NS 2","VAN","subject 1",1.48846,0.40443791405828
"19",19,"NS 2","VAN","subject 1",0.858308,-0.141208788552476
"20",20,"NS 2","VAN","subject 1",0.978581,-0.0114846973916813
"21",21,"S 3","VAN","subject 1",0.455676,-0.764265165644965
"22",22,"S 3","VAN","subject 1",0.173287,-1.69670204863738
"23",23,"S 3","VAN","subject 1",0.24881,-1.35166107722554
"24",24,"S 3","VAN","subject 1",0.0979806,-2.22580369762288
"25",25,"S 3","VAN","subject 1",0.0736983,-2.48053661232619
"26",26,"NS 3","VAN","subject 1",0.0367621,-3.06268223320706
"27",27,"NS 3","VAN","subject 1",0.438952,-0.800839301186173
"28",28,"NS 3","VAN","subject 1",0.997283,0.0072566070247189
"29",29,"NS 3","VAN","subject 1",0.743782,-0.282652077447211
"30",30,"NS 3","VAN","subject 1",0.453456,-0.769043828363691
"31",31,"S 4","VAN","subject 1",0.23472,-1.40764057913949
"32",32,"S 4","VAN","subject 1",0.202123,-1.55058898387526
"33",33,"S 4","VAN","subject 1",0.318936,-1.11189207601534
"34",34,"S 4","VAN","subject 1",0.267806,-1.28083225062299
"35",35,"S 4","VAN","subject 1",0.117822,-2.05711660787882
"36",36,"NS 4","VAN","subject 1",0.183493,-1.64251394287725
"37",37,"NS 4","VAN","subject 1",0.625352,-0.453576102965296
"38",38,"NS 4","VAN","subject 1",1.16406,0.160467827425353
"39",39,"NS 4","VAN","subject 1",1.37196,0.323502781366547
"40",40,"NS 4","VAN","subject 1",0.748973,-0.275789075341775
"41",41,"S 5","VAN","subject 1",0.744006,-0.282354953446161
"42",42,"S 5","VAN","subject 1",0.786844,-0.227096353352831
"43",43,"S 5","VAN","subject 1",0.677953,-0.374034757335786
"44",44,"S 5","VAN","subject 1",0.409634,-0.868372376190757
"45",45,"S 5","VAN","subject 1",0.230712,-1.42415408084503
"46",46,"NS 5","VAN","subject 1",0.182298,-1.6487090268575
"47",47,"NS 5","VAN","subject 1",0.222512,-1.4588134423834
"48",48,"NS 5","VAN","subject 1",0.53126,-0.613855524085535
"49",49,"NS 5","VAN","subject 1",0.913624,-0.0794502165643973
"50",50,"NS 5","VAN","subject 1",0.263846,-1.29518937439551
"51",51,"S 6","VAN","subject 1",0.413107,-0.86013017684086
"52",52,"S 6","VAN","subject 1",0.210165,-1.51337801373923
